CODIGO;DEPARTAMENTO;BIBLIOGRAFIA;TITULO;MINHA BIBLIOTECA;"EX. DA BIBLIOTECA
CT";"EX. DE OUTRAS DO
SIBI";N. DE CHAMADA;Tipo Referencia
CEG001;Expressão Gráfica;Básica;ASSOCIAÇÃO BRASILEIRA DE NORMAS TÉCNICAS (ABNT). NBR17006: Desenho técnico — Requisitos para representação dos métodos de projeção. Rio de Janeiro: ABNT, 2021.;ABNT/TARGET online;0;0; ;Norma
CEG001;Expressão Gráfica;Básica;ASSOCIAÇÃO BRASILEIRA DE NORMAS TÉCNICAS (ABNT). NBR16752 - Desenho técnico — Requisitos para apresentação em folhas de desenho. Rio de Janeiro: ABNT, 2020.;ABNT/TARGET online;0;0; ;Norma
CEG001;Expressão Gráfica;Básica;ASSOCIAÇÃO BRASILEIRA DE NORMAS TÉCNICAS (ABNT). NBR16861 - Desenho técnico — Requisitos para representação de linhas e escrita. Rio de Janeiro: ABNT, 2020.;ABNT/TARGET online;0;0; ;Norma
CEG001;Expressão Gráfica;Básica;ASSOCIAÇÃO BRASILEIRA DE NORMAS TÉCNICAS (ABNT). NBR10126 - Cotagem em desenho técnico — Procedimento. Rio de Janeiro: ABNT, 1987.;ABNT/TARGET online;0;0; ;Norma
CEG001;Expressão Gráfica;Básica;"FRENCH, Thomas E.; VIERCK, Charles J. Desenho técnico e tecnologia gráfica. 8. ed. São Paulo: Globo, 2005.";-;7;11;604.2 F876p 7.ed;Livro
CEG001;Expressão Gráfica;Básica;"SILVA, Arlindo; RIBEIRO, Carlos T.; DIAS, Joáo; SOUSA, Luís. Desenho Técnico Moderno, 4 ed. São Paulo: Grupo GEN-LTC, 2006. Disponível em: https://integrada.minhabiblioteca.com.br/#/books/978-85- 216-2739-5/. Acesso em: 18 fev. 2022.";https://integrada.minhabiblioteca.com.br/reader/books/978-85-216-2739-5/pages/recent;11;50;604.2 D451 4.ed.;Livro
CEG001;Expressão Gráfica;Complementar;GILL, Robert W. Desenho para apresentação de projetos: para arquitetos, engenheiros, projetistas industriais, decoradores, publicitários, jardinistas e artistas em geral. Rio de Janeiro: Ediouro, 1981.;-;4;3;741.26 G475;Livro
CEG001;Expressão Gráfica;Complementar;"LEAKE, James M.; BORGERSON, Jacob L. Manual de desenho Técnico para Engenharia. São Paulo: Grupo Gen-LTC, 2015.";https://integrada.minhabiblioteca.com.br/reader/books/978-85-216-2753-1/pages/recent;4;46;604.2 L435;Livro
CEG001;Expressão Gráfica;Complementar;MANFÉ, Giovanni. Desenho técnico mecânico: curso completo para as escolas técnicas e ciclo básico das faculdades de engenharia. São Paulo: Hemus, 2004.;-;32;0;604.2 M276d;Livro
CEG001;Expressão Gráfica;Complementar;MICELI, Maria Teresa. Desenho técnico básico. 4. ed. Rio de Janeiro: Imperial Novo Milênio, 2010.;-;5;6;604.2 M619 2.ed.;Livro
